dataset,k,consensus,empirical_cdf
NHANES,4,0.86,0.8110930465232616
NHANES,4,0.87,0.8144502251125563
NHANES,4,0.88,0.8181240620310155
NHANES,4,0.89,0.8218454227113556
NHANES,4,0.9,0.8264437218609305
NHANES,4,0.91,0.8307893946973487
NHANES,4,0.92,0.8364622311155577
NHANES,4,0.93,0.8437903951975988
NHANES,4,0.9400000000000001,0.8526328164082041
NHANES,4,0.9500000000000001,0.8604232116058029
NHANES,4,0.96,0.8716228114057029
NHANES,4,0.97,0.8825847923961981
NHANES,4,0.98,0.8871290645322661
NHANES,4,0.99,0.9050200100050025
NHANES,4,1,1
NHANES,5,0,0.6134532266133067
NHANES,5,0.01,0.6134532266133067
NHANES,5,0.02,0.6467883941970985
NHANES,5,0.03,0.6530955477738869
NHANES,5,0.04,0.6685787893946974
NHANES,5,0.05,0.6813241620810405
NHANES,5,0.06,0.6872276138069034
NHANES,5,0.07,0.693847923961981
NHANES,5,0.08,0.6987958979489745
NHANES,5,0.09,0.7029054527263632
NHANES,5,0.1,0.7070545272636318
NHANES,5,0.11,0.7104277138569285
NHANES,5,0.12,0.7137138569284642
NHANES,5,0.13,0.7167703851925963
NHANES,5,0.14,0.7195987993996998
NHANES,5,0.15,0.7228359179589795
NHANES,5,0.16,0.725576288144072
NHANES,5,0.17,0.728543771885943
NHANES,5,0.18,0.7310110055027513
NHANES,5,0.19,0.7336388194097049
NHANES,5,0.2,0.736512256128064
NHANES,5,0.21,0.7385762881440721
NHANES,5,0.22,0.7407308654327164
NHANES,5,0.23,0.7430650325162581
NHANES,5,0.24,0.7453586793396698
NHANES,5,0.25,0.7480360180090045
NHANES,5,0.26,0.7498169084542271
NHANES,5,0.27,0.7522631315657828
NHANES,5,0.28,0.7545132566283141
NHANES,5,0.29,0.7566823411705853
NHANES,5,0.3,0.7590355177588795
NHANES,5,0.31,0.7610290145072536
NHANES,5,0.32,0.7631570785392696
NHANES,5,0.33,0.7652196098049024
NHANES,5,0.34,0.7672356178089045
NHANES,5,0.35000000000000003,0.7690690345172586
NHANES,5,0.36,0.7707478739369685
NHANES,5,0.37,0.772472236118059
NHANES,5,0.38,0.7741820910455227
NHANES,5,0.39,0.775831415707854
NHANES,5,0.4,0.7776463231615808
NHANES,5,0.41000000000000003,0.7790775387693847
NHANES,5,0.42,0.7804817408704352
NHANES,5,0.43,0.7818864432216108
NHANES,5,0.44,0.783383191595798
NHANES,5,0.45,0.7848214107053527
NHANES,5,0.46,0.7861005502751376
NHANES,5,0.47000000000000003,0.787600300150075
NHANES,5,0.48,0.7889769884942471
NHANES,5,0.49,0.7900435217608804
NHANES,5,0.5,0.7922136068034017
NHANES,5,0.51,0.7933001500750375
NHANES,5,0.52,0.7944307153576788
NHANES,5,0.53,0.7958104052026013
NHANES,5,0.54,0.7973316658329165
NHANES,5,0.55,0.7987193596798399
NHANES,5,0.56,0.8000095047523762
NHANES,5,0.5700000000000001,0.8014182091045523
NHANES,5,0.58,0.8027543771885943
NHANES,5,0.59,0.8039879939969985
NHANES,5,0.6,0.8056588294147073
NHANES,5,0.61,0.8068619309654828
NHANES,5,0.62,0.8083481740870435
